Species	Group	beta0	beta0_95%_CI	beta1	beta1_95%_CI	beta2	beta2_95%_CI	beta3	beta3_95%_CI
Oryctolagus_cuniculus	Mammals	-1.524	(-1.765,-1.279)	-0.169	(-0.189,-0.149)	-10.101	(-11.204,-9.077)	12.288	(11.211,13.465)
Rattus_norvegicus	Mammals	0.614	(0.215,1.016)	-0.155	(-0.182,-0.129)	-21.675	(-23.555,-19.788)	22.446	(20.165,24.623)
Mus_pahari	Mammals	-1.078	(-1.397,-0.752)	-0.173	(-0.202,-0.145)	-17.618	(-19.159,-16.115)	18.125	(16.351,19.963)
Mus_musculus	Mammals	-1.138	(-1.529,-0.767)	-0.19	(-0.222,-0.16)	-16.764	(-18.513,-14.869)	16.151	(13.903,18.205)
Nomascus_leucogenys	Mammals	-3.787	(-4.407,-3.177)	-0.221	(-0.274,-0.166)	-10.13	(-13.016,-7.196)	11.39	(8.132,14.846)
Pongo_abelii	Mammals	-3.813	(-4.371,-3.237)	-0.205	(-0.255,-0.146)	-10.966	(-13.686,-8.25)	12.174	(8.963,15.336)
Homo_sapiens	Mammals	-4.93	(-5.566,-4.354)	-0.265	(-0.32,-0.198)	-5.54	(-8.203,-2.537)	5.814	(2.299,8.912)
Macaca_mulatta	Mammals	-1.106	(-1.579,-0.616)	-0.159	(-0.199,-0.103)	-20.09	(-22.49,-17.842)	22.53	(19.846,25.486)
Callithrix_jacchus	Mammals	-3.045	(-3.54,-2.539)	-0.107	(-0.139,-0.077)	-11.205	(-13.608,-8.83)	12.163	(9.376,15.023)
Saimiri_boliviensis	Mammals	-3.524	(-3.951,-3.066)	-0.116	(-0.15,-0.085)	-9.383	(-11.629,-7.34)	10.331	(7.939,13.037)
Daubentonia_madagascariensis	Mammals	-3.077	(-3.43,-2.693)	-0.182	(-0.21,-0.153)	-10.225	(-12.052,-8.534)	12.237	(10.236,14.345)
Microcebus_murinus	Mammals	-3.416	(-3.971,-2.79)	-0.153	(-0.203,-0.099)	-7.713	(-10.799,-4.947)	11.041	(7.701,14.733)
Equus_caballus	Mammals	-3.108	(-3.608,-2.653)	-0.239	(-0.267,-0.213)	-8.174	(-10.306,-5.95)	10.519	(8.016,12.985)
Dicerorhinus_sumatrensis	Mammals	-3.157	(-3.667,-2.597)	-0.064	(-0.115,-0.018)	-13.539	(-16.123,-11.248)	15.07	(12.522,18.074)
Ceratotherium_simum_cottoni	Mammals	-3.797	(-4.284,-3.263)	-0.126	(-0.167,-0.087)	-11.082	(-13.648,-8.829)	12.351	(9.727,15.301)
Felis_catus	Mammals	-3.552	(-4.009,-3.051)	0.025	(-0.009,0.064)	-5.72	(-8.034,-3.537)	7.722	(5.17,10.41)
Canis_lupus_familiaris	Mammals	-2.829	(-3.356,-2.345)	-0.053	(-0.083,-0.025)	-9.528	(-11.816,-7.082)	13.334	(10.55,16.02)
Bos_taurus	Mammals	-3.409	(-3.848,-2.986)	-0.172	(-0.209,-0.136)	-11.278	(-13.242,-9.18)	13.202	(10.734,15.57)
Ovis_aries	Mammals	-1.703	(-2.157,-1.174)	-0.191	(-0.226,-0.15)	-18.594	(-21.095,-16.39)	21.833	(19.138,24.82)
Sus_scrofa	Mammals	-3.001	(-3.456,-2.573)	-0.106	(-0.141,-0.074)	-6.745	(-8.787,-4.604)	9.104	(6.682,11.501)
Pterocles_burchelli	Birds	0.702	(-1.088,2.773)	0.151	(0.129,0.174)	-24.601	(-35.093,-15.416)	28.859	(17.093,42.048)
Columba_livia	Birds	1.618	(-0.395,3.541)	0.12	(0.087,0.151)	-28.139	(-38.122,-17.811)	32.927	(19.623,45.727)
Calidris_pugnax	Birds	0.752	(-2.407,3.305)	0.103	(0.067,0.138)	-25.857	(-38.821,-9.82)	31.592	(11.486,48.04)
Gallus_gallus	Birds	1.703	(0.575,2.822)	0.085	(0.041,0.13)	-26.989	(-32.653,-21.318)	30.469	(23.32,37.767)
Lophotis_ruficrista	Birds	1.595	(-0.119,3.414)	0.116	(0.087,0.149)	-29.346	(-38.584,-20.753)	34.121	(23.509,45.796)
Cuculus_canorus	Birds	3.61	(1.567,5.623)	0.125	(0.089,0.158)	-37.116	(-47.575,-26.469)	44.116	(30.312,57.893)
Egretta_garzetta	Birds	1.281	(-0.977,3.672)	0.118	(0.084,0.157)	-29.037	(-41.104,-17.887)	34.247	(20.525,49.504)
Bucorvus_abyssinicus	Birds	2.436	(1.001,4.036)	0.099	(0.065,0.13)	-33.506	(-41.572,-26.381)	40.809	(32.111,50.904)
Halcyon_senegalensis	Birds	2.566	(0.871,4.364)	0.121	(0.081,0.164)	-33.384	(-42.612,-24.616)	40.068	(28.823,52.124)
Trogon_melanurus	Birds	2.271	(0.343,4.149)	0.135	(0.098,0.172)	-30.783	(-40.232,-21.185)	35.543	(23.621,47.348)
Ficedula_albicollis	Birds	5.94	(4.363,7.435)	0.141	(0.101,0.183)	-47.979	(-55.573,-40.069)	58.608	(48.715,68.098)
Falco_cherrug	Birds	1.599	(-0.49,4.165)	0.14	(0.097,0.181)	-28.327	(-41.22,-17.982)	32.394	(19.292,48.412)
Haliaeetus_leucocephalus	Birds	-6.671	(-9.401,-4.402)	0.153	(0.111,0.197)	9.832	(-1.52,23.575)	-13.968	(-31.365,0.458)
Psophia_crepitans	Birds	-3.646	(-5.581,-1.749)	0.153	(0.115,0.183)	-2.855	(-12.119,6.808)	1.353	(-10.512,12.718)
Anseranas_semipalmata	Birds	-3.742	(-5.511,-2.326)	0.118	(0.075,0.163)	-5.147	(-12.332,3.768)	3.984	(-6.941,13.027)
Cairina_moschata	Birds	2.192	(1.067,3.307)	0.093	(0.059,0.128)	-31.103	(-36.745,-25.485)	36.092	(29.254,43.237)
Penelope_pileata	Birds	2.413	(1.389,3.624)	0.14	(0.101,0.181)	-32.728	(-38.721,-27.656)	38.057	(31.698,45.412)
Thamnophis_elegans	Snakes	-2.693	(-3.322,-1.697)	0.028	(0.011,0.046)	-12.398	(-17.626,-9.501)	17.938	(14.638,24.494)
Pantherophis_guttatus	Snakes	-0.271	(-1.144,1.078)	0.06	(0.043,0.076)	-25.142	(-32.005,-20.925)	31.972	(26.905,40.763)
Naja_naja	Snakes	0.364	(-0.264,1.498)	0.114	(0.1,0.128)	-26.27	(-32.157,-23.307)	32.907	(29.364,40.417)
Vipera_berus	Snakes	-1.65	(-2.552,0.267)	0.061	(0.043,0.079)	-19.688	(-29.339,-15.348)	26.49	(21.126,38.615)
Crotalus_viridis	Snakes	-0.8	(-1.72,1.044)	0.078	(0.059,0.095)	-24.876	(-34.501,-20.401)	32.845	(27.288,45.233)
