Species	Common Name	Mean Paternal Age at Conception	Pat DNMs	Mat DNMs	Num Trios
Papio anubis	Baboon	10.271	42	13	12
Homo sapiens (JÃ³nsson et al.)	Human	31.62667	11478	2784	225
Pan troglodytes (Besenbacher et al.)	Chimpanzee	19.27286	83	19	7
Pan troglodytes (Tatsumoto et al.)	Chimpanzee	24	11	4	1
Gorilla gorilla	Gorilla	13.5	32	16	2
Pongo abelii	Orangutan	31	33	8	1
Macaca mulatta (Wang et al.)	Macaque	7.5	106	33	14
Aotus nancymaae	Owl monkey	5.551667	71	34	6
Mus musculus	Mouse	0.4354135	152	55	40
Bos taurus	Cattle	5	134	53	13
Ficedula albicollis	Collared flycatcher	2	18	15	5
Felis catus	Cat	3.9666667	21	9	3
Callithrix jacchus	Common marmoset	2.923333	6	3	1
Microcebus murinus	Mouse lemur	4.55	51	43	2
