Species,G,Group
Bos_taurus,6.55,Mammals
Callithrix_jacchus,2.65,Mammals
Canis_lupus_familiaris,3.58,Mammals
Ceratotherium_simum_cottoni,14.69,Mammals
Daubentonia_madagascariensis,8,Mammals
Dicerorhinus_sumatrensis,12,Mammals
Equus_caballus,12,Mammals
Felis_catus,2.25,Mammals
Homo_sapiens,29,Mammals
Macaca_mulatta,7.35,Mammals
Microcebus_murinus,3.125,Mammals
Mus_musculus,0.75,Mammals
Mus_pahari,0.75,Mammals
Nomascus_leucogenys,13.5,Mammals
Oryctolagus_cuniculus,1.8,Mammals
Ovis_aries,5.105,Mammals
Pongo_abelii,25,Mammals
Rattus_norvegicus,1,Mammals
Saimiri_boliviensis,4.5,Mammals
Sus_scrofa,2.5,Mammals
Anseranas_semipalmata,14.4,Birds
Aptenodytes_forsteri,17.4,Birds
Bucorvus_abyssinicus,29.8,Birds
Cairina_moschata,2.55,Birds
Calidris_pugnax,4.15,Birds
Columba_livia,5.8,Birds
Cuculus_canorus,7,Birds
Egretta_garzetta,5.6,Birds
Falco_cherrug,6.6,Birds
Ficedula_albicollis,1.8,Birds
Gallus_gallus,2,Birds
Halcyon_senegalensis,2,Birds
Haliaeetus_leucocephalus,11,Birds
Lophotis_ruficrista,10.3,Birds
Numida_meleagris,3.9,Birds
Penelope_pileata,5.7,Birds
Psophia_crepitans,7.99,Birds
Pterocles_burchelli,5.6,Birds
Trogon_melanurus,7.3,Birds